ANNO,CDPELL,CDBUS,CAPIENZA,DSBUS,TMESTP
2007,04,1,050,S.A.R.,20070609180056484
2007,04,2,050,S.A.R.,20070609180114062
2007,04,3,009,PULMINO UNITALSI,20070609183817812
2007,05,1,050,S.A.R. N.1,20070622190730860
2007,05,2,050,S.A.R. N.2,20070622190752235
2007,05,3,009,PULMINO UNITALSI,20070622190807594
2007,07,0,000,,20070703185819875
2007,07,1,050,S.A.R.N.1,20070703190230062
2007,07,2,050,S.A.R.N.2,20070703190245812
2007,07,3,008,PULMINO UNITALSI,20070703190329734
2007,07,4,050,SAR N. 4,20070706194805734
2007,08,1,050,S.A.R. N. 1,20070718231851328
2007,08,2,050,S.A.R. N. 2,20070718231907765
2007,08,3,050,S.A.R. N. 3,20070718231919453
2007,08,4,008,PULMINO UNITALSI,20070718231959453
2007,11,1,050,N.1 COOP.MONZA 2000,20071012091422531
2007,11,2,050,N.2 COOP.MONZA 2000,20071012091357015
2007,11,3,009,PULMINO UNITALSI,20071011101759436
2008,73,1,050,monza 2000,20080613161918675
2008,73,2,050,monza 2000,20080613162937398
2008,73,3,008,pulino unmitalsi,20080613162955359
2008,74,0,050,bus 1,20080627132034401
2008,74,2,050,bus2,20080627135234820
2008,75,1,050,S.A.R.,20080708180439100
2008,75,2,050,S.A.R.,20080708180450084
2008,75,3,050,S.A.R.,20080708180502100
2008,75,4,004,PULMINO UN ITALSI,20080708180542334
2008,76,1,050,S.A.R. N.1,20080725173511425
2008,76,2,050,S.A.R. N.2,20080725173548450
2008,76,3,050,S.A.R. N.3,20080725173612623
2008,76,4,008,PULMINO UNITALSI,20080725173632705
2008,80,1,051,MONZA 2000,20081010094019960
2009,03,1,050,S.A.R.,20090611221647095
2009,03,2,050,S.A.R.,20090611221659783
2009,03,3,050,"S.A.R,.",20090611221711548
2009,03,4,008,PULMINO UNITALSI,20090611223854677
2009,04,1,050,S.A.R.,20090625074331883
2009,04,2,050,S.A.R.,20090625074340912
2009,04,3,050,S.A.R.,20090625074351883
2009,04,4,008,PULMINO UNITALSI,20090625074421648
2009,05,1,050,S.A.R.,20090625074206060
2009,05,2,050,S.A.R.,20090625074217218
2009,05,3,050,S.A.R.,20090625074226827
2009,05,4,008,PULMINO UNITALSI,20090625074245278
2009,06,1,050,N. 1 S A R,20090714093724247
2009,06,2,050,N. 2 S A R,20090714093739528
2009,06,3,050,N. 3 S A R,20090714093755325
2009,06,4,008,PULMINO UNITALSI,20090714093914247
2010,07,1,050,monza 2000,20100522144043352
2010,07,2,050,monza 2000,20100522144105305
2010,09,1,055,monza 2000,20100703093537085
2010,09,2,049,monza 2000,20100703093558007
2010,09,3,008,pulmino unitalsi,20100703103935710
2010,09,4,008,pulmino unitalsi,20100623112620672
2010,10,1,055,monza 2000,20100709170657736
2010,10,2,049,monza 2000,20100709170723205
2010,10,3,050,monza 2000,20100709172704604
2010,10,4,005,pulmino unitalsi,20100709174137296
2010,11,1,049,MONZA 2000,20100724145914057
2010,11,2,055,MONZA 2000,20100724145928776
2010,11,3,008,PULMINO UNITALSI,20100724150026886
2010,33,1,057,monza 2000,20100616111607392
2010,33,2,050,monza 2000,20100526074245750
2010,33,3,050,monza 2000,20100526074300438
2010,33,4,050,monza 2000,20100526074313360
2010,33,5,050,monza 2000,20100526074327407
2010,33,6,050,monza 2000,20100526074339079
2010,33,7,050,monza 2000,20100608140913149
2011,08,1,055,MONZA VIAGGI,20110609162706824
2011,08,2,055,MONZA VIAGGI,20110609162719871
2011,08,3,008,PULINO UNITALSI,20110609162737433
2011,09,1,053,N.1 MONZA DUEMILA,20110701075153100
2011,09,2,054,N.2 MONZA DUEMILA,20110701075158105
2011,09,3,050,N.3 MONZA DUEMILAÃ¹,20110621110436150
2011,09,4,008,PULMINO UMITALSI,20110621110500932
2011,10,1,052,PULMAN 1 MONZA 2000,20110716004155852
2011,10,2,050,PULMAN 2 MONZA 2000,20110706151111536
2011,10,3,056,PULMAN 3 MONZA 2000,20110716004146930
2011,10,4,008,PULMINO UNITALSI,20110706151214096
2011,11,1,051,PULMAN 1 MONZA 2000,20110723081008016
2011,11,2,056,PULMAN 2 MONZA 2000,20110723081027831
2011,11,3,008,PULMINO UNITALSI,20110723081058964
2012,20,1,055,MONZA 2000,20120608150114234
2012,20,2,050,MONZA 2000,20120608144349578
2012,20,3,008,PULMINO UNITALSI,20120609084328078
2012,21,1,055,n.1 monza 2000,20120619162949125
2012,21,2,050,n.2 monza 2000,20120619163056453
2012,21,3,008,pulmino unitalsi,20120619163130312
2012,22,1,050,n.1 monza 2000,20120705145538718
2012,22,2,055,n.2 monza 2000,20120705145631250
2012,22,3,008,n.3 pulmino unitalsi,20120707173845531
2012,23,1,051,n.1 monza 2000,20120719180143093
2012,23,2,055,n.2 monza 2000,20120719175339468
2012,23,3,055,n.3 monza 2000,20120719175424140
2012,23,4,008,pulmino unitalsi,20120719175620015
2013,50,1,052,MONZA 2000,20130612085258796
2013,50,2,009,PULMINO UNITALSI,20130612093345390
2013,50,3,009,PULMINO SACRO CUORE,20130612093326500
2013,51,1,052,MONZA 2000,20130626230030046
2013,51,2,054,MONZA 2000,20130628113320078
2013,51,3,008,PULMINO UNITALSI,20130626204220734
2013,51,4,008,pulmino lombarda,20130705162419781
2013,52,1,052,n.1 monza 2000,20130711124808781
2013,52,2,054,n.2 monza 2000,20130711124829031
2013,52,3,008,pulmino unitalsi,20130711124949406
2013,53,1,052,n.1 monza 2000,20130722164712109
2013,53,2,055,n.2 monza 2000,20130722164738937
2013,53,3,009,pulmino unitalsi,20130722164824984
2014,54,1,050,MONZA 2000 - N.1,20140612221216046
2014,54,2,050,MONZA 2000 - N.2,20140612221333562
2014,54,3,009,PULMINO S.CUORE,20140620094042828
2014,54,4,006,PULMINO UNITALSI,20140612222645421
2014,55,1,049,n.1 monza 2000,20140625155459229
2014,55,2,055,n.2 monza 2000,20140625163811182
2014,55,3,008,pulmino unitalsi,20140625155547776
2014,56,1,047,n.1 monza 2000,20140714093349890
2014,56,2,055,n. 2 monza 2000,20140710092533656
2014,56,3,008,pulmino unitalsi,20140710092549781
2014,57,1,049,N1 MONZA 2000,20140724162316031
2014,57,2,055,N2 MONZA 2000,20140724162332625
2014,57,3,008,PULLMINO UNITALSI,20140724162400968
2015,59,1,053,MONZA 2OOO,20150526100239546
2015,59,2,008,PULMINO UNITALSI,20150526100303796
2015,60,0,008,UNITALSI MONZA,20150623111214421
2015,60,1,055,MONZA 2000,20150623110941140
2015,60,2,050,MONZA 2000,20150623110957078
2015,60,3,008,UNITALSI MONZA,20150623111143531
2015,60,4,008,UNITALSI MONZA,20150623111420312
2015,61,1,050,MONZA 2000,20150629182301917
2015,61,2,055,MONZA 2000,20150629182317417
2015,61,3,009,PULMINO UNITALSI,20150715155325203
2015,61,4,008,PULMINO 2 UNITALSI,20150629182345730
2015,62,1,050,MONZA 2000 - n.1,20150724224453282
2015,62,2,055,MONZA 2000 - N.2,20150724224525454
2015,62,3,009,Pulmino BOLLATE,20150730152619510
2015,62,4,004,AUTO BOLLATE,20150730152655276
2015,62,5,009,Pulmino VOLSWAGEN,20150730152719244
2015,62,6,009,Pulmino DUCATO,20150730152730760
2016,59,1,055,MONZA 2000,20160609105125781
2016,60,1,055,MONZA 2000,20160621113759734
2016,60,2,049,MONZA 2000,20160621113833281
2016,60,3,008,PULMINO UNITALSI,20160621120910984
2016,60,4,022,MONZA 2000,20160621122635906
2016,61,1,049,n.1 monza 2000,20160707113658281
2016,61,2,055,n.2 monza 2000,20160707113714984
2016,61,3,008,pulmino unitalsi,20160707113732468
2016,62,1,049,N.  1 MONZA 2000,20160723082749500
2016,62,2,055,N. 2 MONZA 2000,20160723082731000
2016,62,3,008,PULMINO UNITALSI,20160723082812765
